date,country,area,time,price(eur/mwh)
01/02/2023,Austria,BZN AT,00:00 - 00:15,22.49
01/02/2023,Austria,BZN AT,00:15 - 00:30,10.0
01/02/2023,Austria,BZN AT,00:30 - 00:45,-19.99
01/02/2023,Austria,BZN AT,00:45 - 01:00,-38.54
01/02/2023,Austria,BZN AT,01:00 - 01:15,19.53
01/02/2023,Austria,BZN AT,01:15 - 01:30,0.5
01/02/2023,Austria,BZN AT,01:30 - 01:45,-30.97
01/02/2023,Austria,BZN AT,01:45 - 02:00,-45.88
01/02/2023,Austria,BZN AT,02:00 - 02:15,18.96
01/02/2023,Austria,BZN AT,02:15 - 02:30,-5.0
01/02/2023,Austria,BZN AT,02:30 - 02:45,-29.93
01/02/2023,Austria,BZN AT,02:45 - 03:00,-39.94
01/02/2023,Austria,BZN AT,03:00 - 03:15,2.26
01/02/2023,Austria,BZN AT,03:15 - 03:30,-17.17
01/02/2023,Austria,BZN AT,03:30 - 03:45,-23.03
01/02/2023,Austria,BZN AT,03:45 - 04:00,-29.99
01/02/2023,Austria,BZN AT,04:00 - 04:15,-20.57
01/02/2023,Austria,BZN AT,04:15 - 04:30,-26.17
01/02/2023,Austria,BZN AT,04:30 - 04:45,-25.31
01/02/2023,Austria,BZN AT,04:45 - 05:00,-10.0
01/02/2023,Austria,BZN AT,05:00 - 05:15,0.0
01/02/2023,Austria,BZN AT,05:15 - 05:30,-3.9
01/02/2023,Austria,BZN AT,05:30 - 05:45,-0.09
01/02/2023,Austria,BZN AT,05:45 - 06:00,-0.09
01/02/2023,Austria,BZN AT,06:00 - 06:15,-25.31
01/02/2023,Austria,BZN AT,06:15 - 06:30,-5.09
01/02/2023,Austria,BZN AT,06:30 - 06:45,19.9
01/02/2023,Austria,BZN AT,06:45 - 07:00,22.49
01/02/2023,Austria,BZN AT,07:00 - 07:15,-42.99
01/02/2023,Austria,BZN AT,07:15 - 07:30,-10.02
01/02/2023,Austria,BZN AT,07:30 - 07:45,21.92
01/02/2023,Austria,BZN AT,07:45 - 08:00,51.49
01/02/2023,Austria,BZN AT,08:00 - 08:15,-10.0
01/02/2023,Austria,BZN AT,08:15 - 08:30,6.46
01/02/2023,Austria,BZN AT,08:30 - 08:45,5.0
01/02/2023,Austria,BZN AT,08:45 - 09:00,19.95
01/02/2023,Austria,BZN AT,09:00 - 09:15,15.0
01/02/2023,Austria,BZN AT,09:15 - 09:30,9.97
01/02/2023,Austria,BZN AT,09:30 - 09:45,-0.23
01/02/2023,Austria,BZN AT,09:45 - 10:00,-0.07
01/02/2023,Austria,BZN AT,10:00 - 10:15,20.15
01/02/2023,Austria,BZN AT,10:15 - 10:30,10.0
01/02/2023,Austria,BZN AT,10:30 - 10:45,-0.01
01/02/2023,Austria,BZN AT,10:45 - 11:00,-5.04
01/02/2023,Austria,BZN AT,11:00 - 11:15,22.46
01/02/2023,Austria,BZN AT,11:15 - 11:30,19.97
01/02/2023,Austria,BZN AT,11:30 - 11:45,-0.06
01/02/2023,Austria,BZN AT,11:45 - 12:00,-28.44
01/02/2023,Austria,BZN AT,12:00 - 12:15,40.0
01/02/2023,Austria,BZN AT,12:15 - 12:30,21.3
01/02/2023,Austria,BZN AT,12:30 - 12:45,0.77
01/02/2023,Austria,BZN AT,12:45 - 13:00,-10.05
01/02/2023,Austria,BZN AT,13:00 - 13:15,21.01
01/02/2023,Austria,BZN AT,13:15 - 13:30,20.19
01/02/2023,Austria,BZN AT,13:30 - 13:45,19.96
01/02/2023,Austria,BZN AT,13:45 - 14:00,19.81
01/02/2023,Austria,BZN AT,14:00 - 14:15,20.6
01/02/2023,Austria,BZN AT,14:15 - 14:30,21.12
01/02/2023,Austria,BZN AT,14:30 - 14:45,27.5
01/02/2023,Austria,BZN AT,14:45 - 15:00,54.99
01/02/2023,Austria,BZN AT,15:00 - 15:15,3.9
01/02/2023,Austria,BZN AT,15:15 - 15:30,20.0
01/02/2023,Austria,BZN AT,15:30 - 15:45,44.95
01/02/2023,Austria,BZN AT,15:45 - 16:00,99.63
01/02/2023,Austria,BZN AT,16:00 - 16:15,12.7
01/02/2023,Austria,BZN AT,16:15 - 16:30,22.4
01/02/2023,Austria,BZN AT,16:30 - 16:45,79.95
01/02/2023,Austria,BZN AT,16:45 - 17:00,100.64
01/02/2023,Austria,BZN AT,17:00 - 17:15,22.46
01/02/2023,Austria,BZN AT,17:15 - 17:30,72.06
01/02/2023,Austria,BZN AT,17:30 - 17:45,79.94
01/02/2023,Austria,BZN AT,17:45 - 18:00,99.96
01/02/2023,Austria,BZN AT,18:00 - 18:15,99.63
01/02/2023,Austria,BZN AT,18:15 - 18:30,83.89
01/02/2023,Austria,BZN AT,18:30 - 18:45,82.64
01/02/2023,Austria,BZN AT,18:45 - 19:00,69.99
01/02/2023,Austria,BZN AT,19:00 - 19:15,99.63
01/02/2023,Austria,BZN AT,19:15 - 19:30,84.41
01/02/2023,Austria,BZN AT,19:30 - 19:45,56.32
01/02/2023,Austria,BZN AT,19:45 - 20:00,35.0
01/02/2023,Austria,BZN AT,20:00 - 20:15,99.63
01/02/2023,Austria,BZN AT,20:15 - 20:30,79.1
01/02/2023,Austria,BZN AT,20:30 - 20:45,30.0
01/02/2023,Austria,BZN AT,20:45 - 21:00,19.05
01/02/2023,Austria,BZN AT,21:00 - 21:15,99.63
01/02/2023,Austria,BZN AT,21:15 - 21:30,65.81
01/02/2023,Austria,BZN AT,21:30 - 21:45,25.0
01/02/2023,Austria,BZN AT,21:45 - 22:00,22.23
01/02/2023,Austria,BZN AT,22:00 - 22:15,79.3
01/02/2023,Austria,BZN AT,22:15 - 22:30,86.3
01/02/2023,Austria,BZN AT,22:30 - 22:45,22.47
01/02/2023,Austria,BZN AT,22:45 - 23:00,19.92
01/02/2023,Austria,BZN AT,23:00 - 23:15,99.63
01/02/2023,Austria,BZN AT,23:15 - 23:30,94.23
01/02/2023,Austria,BZN AT,23:30 - 23:45,18.96
01/02/2023,Austria,BZN AT,23:45 - 00:00,-5.08
01/02/2023,Belgium,BZN BE,00:00 - 01:00,-4.39
01/02/2023,Belgium,BZN BE,01:00 - 02:00,-1.75
01/02/2023,Belgium,BZN BE,02:00 - 03:00,-1.46
01/02/2023,Belgium,BZN BE,03:00 - 04:00,-5.27
01/02/2023,Belgium,BZN BE,04:00 - 05:00,-4.41
01/02/2023,Belgium,BZN BE,05:00 - 06:00,-5.4
01/02/2023,Belgium,BZN BE,06:00 - 07:00,-4.69
01/02/2023,Belgium,BZN BE,07:00 - 08:00,-1.31
01/02/2023,Belgium,BZN BE,08:00 - 09:00,-1.57
01/02/2023,Belgium,BZN BE,09:00 - 10:00,-1.03
01/02/2023,Belgium,BZN BE,10:00 - 11:00,-0.23
01/02/2023,Belgium,BZN BE,11:00 - 12:00,-0.74
01/02/2023,Belgium,BZN BE,12:00 - 13:00,-0.57
01/02/2023,Belgium,BZN BE,13:00 - 14:00,-0.12
01/02/2023,Belgium,BZN BE,14:00 - 15:00,0.85
01/02/2023,Belgium,BZN BE,15:00 - 16:00,23.5
01/02/2023,Belgium,BZN BE,16:00 - 17:00,36.54
01/02/2023,Belgium,BZN BE,17:00 - 18:00,46.03
01/02/2023,Belgium,BZN BE,18:00 - 19:00,36.64
01/02/2023,Belgium,BZN BE,19:00 - 20:00,54.95
01/02/2023,Belgium,BZN BE,20:00 - 21:00,45.83
01/02/2023,Belgium,BZN BE,21:00 - 22:00,36.57
01/02/2023,Belgium,BZN BE,22:00 - 23:00,45.96
01/02/2023,Belgium,BZN BE,23:00 - 00:00,35.0
01/02/2023,Bulgaria,BZN BG,00:00 - 01:00,20.02
01/02/2023,Bulgaria,BZN BG,01:00 - 02:00,0.18
01/02/2023,Bulgaria,BZN BG,02:00 - 03:00,0.01
01/02/2023,Bulgaria,BZN BG,03:00 - 04:00,0.01
01/02/2023,Bulgaria,BZN BG,04:00 - 05:00,0.01
01/02/2023,Bulgaria,BZN BG,05:00 - 06:00,0.01
01/02/2023,Bulgaria,BZN BG,06:00 - 07:00,0.01
01/02/2023,Bulgaria,BZN BG,07:00 - 08:00,0.01
01/02/2023,Bulgaria,BZN BG,08:00 - 09:00,0.29
01/02/2023,Bulgaria,BZN BG,09:00 - 10:00,0.93
01/02/2023,Bulgaria,BZN BG,10:00 - 11:00,1.57
01/02/2023,Bulgaria,BZN BG,11:00 - 12:00,2.27
01/02/2023,Bulgaria,BZN BG,12:00 - 13:00,2.4
01/02/2023,Bulgaria,BZN BG,13:00 - 14:00,2.49
01/02/2023,Bulgaria,BZN BG,14:00 - 15:00,9.7
01/02/2023,Bulgaria,BZN BG,15:00 - 16:00,23.86
01/02/2023,Bulgaria,BZN BG,16:00 - 17:00,36.54
01/02/2023,Bulgaria,BZN BG,17:00 - 18:00,46.03
01/02/2023,Bulgaria,BZN BG,18:00 - 19:00,53.22
01/02/2023,Bulgaria,BZN BG,19:00 - 20:00,54.95
01/02/2023,Bulgaria,BZN BG,20:00 - 21:00,49.06
01/02/2023,Bulgaria,BZN BG,21:00 - 22:00,44.27
01/02/2023,Bulgaria,BZN BG,22:00 - 23:00,45.96
01/02/2023,Bulgaria,BZN BG,23:00 - 00:00,35.0
01/02/2023,Croatia,BZN HR,00:00 - 01:00,15.36
01/02/2023,Croatia,BZN HR,01:00 - 02:00,0.01
01/02/2023,Croatia,BZN HR,02:00 - 03:00,-0.3
01/02/2023,Croatia,BZN HR,03:00 - 04:00,-1.05
01/02/2023,Croatia,BZN HR,04:00 - 05:00,-1.45
01/02/2023,Croatia,BZN HR,05:00 - 06:00,-0.95
01/02/2023,Croatia,BZN HR,06:00 - 07:00,-2.53
01/02/2023,Croatia,BZN HR,07:00 - 08:00,-0.09
01/02/2023,Croatia,BZN HR,08:00 - 09:00,0.03
01/02/2023,Croatia,BZN HR,09:00 - 10:00,0.6
01/02/2023,Croatia,BZN HR,10:00 - 11:00,1.13
01/02/2023,Croatia,BZN HR,11:00 - 12:00,1.66
01/02/2023,Croatia,BZN HR,12:00 - 13:00,1.83
01/02/2023,Croatia,BZN HR,13:00 - 14:00,2.13
01/02/2023,Croatia,BZN HR,14:00 - 15:00,7.89
01/02/2023,Croatia,BZN HR,15:00 - 16:00,23.79
01/02/2023,Croatia,BZN HR,16:00 - 17:00,36.54
01/02/2023,Croatia,BZN HR,17:00 - 18:00,46.03
01/02/2023,Croatia,BZN HR,18:00 - 19:00,52.59
01/02/2023,Croatia,BZN HR,19:00 - 20:00,54.95
01/02/2023,Croatia,BZN HR,20:00 - 21:00,48.99
01/02/2023,Croatia,BZN HR,21:00 - 22:00,44.03
01/02/2023,Croatia,BZN HR,22:00 - 23:00,45.96
01/02/2023,Croatia,BZN HR,23:00 - 00:00,35.0
01/02/2023,Czech Republic,BZN CZ,00:00 - 01:00,4.84
01/02/2023,Czech Republic,BZN CZ,01:00 - 02:00,-0.35
01/02/2023,Czech Republic,BZN CZ,02:00 - 03:00,-0.97
01/02/2023,Czech Republic,BZN CZ,03:00 - 04:00,-1.93
01/02/2023,Czech Republic,BZN CZ,04:00 - 05:00,-3.07
01/02/2023,Czech Republic,BZN CZ,05:00 - 06:00,-1.86
01/02/2023,Czech Republic,BZN CZ,06:00 - 07:00,-3.44
01/02/2023,Czech Republic,BZN CZ,07:00 - 08:00,-0.47
01/02/2023,Czech Republic,BZN CZ,08:00 - 09:00,-0.3
01/02/2023,Czech Republic,BZN CZ,09:00 - 10:00,0.26
01/02/2023,Czech Republic,BZN CZ,10:00 - 11:00,0.69
01/02/2023,Czech Republic,BZN CZ,11:00 - 12:00,1.17
01/02/2023,Czech Republic,BZN CZ,12:00 - 13:00,1.34
01/02/2023,Czech Republic,BZN CZ,13:00 - 14:00,1.53
01/02/2023,Czech Republic,BZN CZ,14:00 - 15:00,5.78
01/02/2023,Czech Republic,BZN CZ,15:00 - 16:00,23.72
01/02/2023,Czech Republic,BZN CZ,16:00 - 17:00,36.54
01/02/2023,Czech Republic,BZN CZ,17:00 - 18:00,46.03
01/02/2023,Czech Republic,BZN CZ,18:00 - 19:00,53.99
01/02/2023,Czech Republic,BZN CZ,19:00 - 20:00,54.95
01/02/2023,Czech Republic,BZN CZ,20:00 - 21:00,49.16
01/02/2023,Czech Republic,BZN CZ,21:00 - 22:00,44.56
01/02/2023,Czech Republic,BZN CZ,22:00 - 23:00,45.96
01/02/2023,Czech Republic,BZN CZ,23:00 - 00:00,35.0
01/02/2023,Denmark,BZN DK1,00:00 - 01:00,2.01
01/02/2023,Denmark,BZN DK1,01:00 - 02:00,1.38
01/02/2023,Denmark,BZN DK1,02:00 - 03:00,0.09
01/02/2023,Denmark,BZN DK1,03:00 - 04:00,0.08
01/02/2023,Denmark,BZN DK1,04:00 - 05:00,0.05
01/02/2023,Denmark,BZN DK1,05:00 - 06:00,0.0
01/02/2023,Denmark,BZN DK1,06:00 - 07:00,-0.38
01/02/2023,Denmark,BZN DK1,07:00 - 08:00,0.0
01/02/2023,Denmark,BZN DK1,08:00 - 09:00,0.0
01/02/2023,Denmark,BZN DK1,09:00 - 10:00,0.04
01/02/2023,Denmark,BZN DK1,10:00 - 11:00,0.8
01/02/2023,Denmark,BZN DK1,11:00 - 12:00,0.08
01/02/2023,Denmark,BZN DK1,12:00 - 13:00,0.04
01/02/2023,Denmark,BZN DK1,13:00 - 14:00,0.0
01/02/2023,Denmark,BZN DK1,14:00 - 15:00,0.85
01/02/2023,Denmark,BZN DK1,15:00 - 16:00,23.53
01/02/2023,Denmark,BZN DK1,16:00 - 17:00,36.54
01/02/2023,Denmark,BZN DK1,17:00 - 18:00,46.03
01/02/2023,Denmark,BZN DK1,18:00 - 19:00,55.57
01/02/2023,Denmark,BZN DK1,19:00 - 20:00,54.95
01/02/2023,Denmark,BZN DK1,20:00 - 21:00,49.23
01/02/2023,Denmark,BZN DK1,21:00 - 22:00,44.99
01/02/2023,Denmark,BZN DK1,22:00 - 23:00,45.96
01/02/2023,Denmark,BZN DK1,23:00 - 00:00,35.0
01/02/2023,Denmark,BZN DK2,00:00 - 01:00,2.01
01/02/2023,Denmark,BZN DK2,01:00 - 02:00,1.38
01/02/2023,Denmark,BZN DK2,02:00 - 03:00,0.09
01/02/2023,Denmark,BZN DK2,03:00 - 04:00,0.08
01/02/2023,Denmark,BZN DK2,04:00 - 05:00,0.05
01/02/2023,Denmark,BZN DK2,05:00 - 06:00,0.08
01/02/2023,Denmark,BZN DK2,06:00 - 07:00,0.09
01/02/2023,Denmark,BZN DK2,07:00 - 08:00,0.53
01/02/2023,Denmark,BZN DK2,08:00 - 09:00,2.03
01/02/2023,Denmark,BZN DK2,09:00 - 10:00,3.1
01/02/2023,Denmark,BZN DK2,10:00 - 11:00,4.43
01/02/2023,Denmark,BZN DK2,11:00 - 12:00,6.06
01/02/2023,Denmark,BZN DK2,12:00 - 13:00,6.06
01/02/2023,Denmark,BZN DK2,13:00 - 14:00,5.68
01/02/2023,Denmark,BZN DK2,14:00 - 15:00,17.71
01/02/2023,Denmark,BZN DK2,15:00 - 16:00,24.11
01/02/2023,Denmark,BZN DK2,16:00 - 17:00,36.54
01/02/2023,Denmark,BZN DK2,17:00 - 18:00,46.03
01/02/2023,Denmark,BZN DK2,18:00 - 19:00,55.57
01/02/2023,Denmark,BZN DK2,19:00 - 20:00,54.95
01/02/2023,Denmark,BZN DK2,20:00 - 21:00,49.23
01/02/2023,Denmark,BZN DK2,21:00 - 22:00,44.99
01/02/2023,Denmark,BZN DK2,22:00 - 23:00,45.96
01/02/2023,Denmark,BZN DK2,23:00 - 00:00,35.0
01/02/2023,Estonia,BZN EE,00:00 - 01:00,2.01
01/02/2023,Estonia,BZN EE,01:00 - 02:00,1.38
01/02/2023,Estonia,BZN EE,02:00 - 03:00,0.09
01/02/2023,Estonia,BZN EE,03:00 - 04:00,0.08
01/02/2023,Estonia,BZN EE,04:00 - 05:00,0.05
01/02/2023,Estonia,BZN EE,05:00 - 06:00,0.08
01/02/2023,Estonia,BZN EE,06:00 - 07:00,0.09
01/02/2023,Estonia,BZN EE,07:00 - 08:00,0.53
01/02/2023,Estonia,BZN EE,08:00 - 09:00,2.03
01/02/2023,Estonia,BZN EE,09:00 - 10:00,3.1
01/02/2023,Estonia,BZN EE,10:00 - 11:00,4.43
01/02/2023,Estonia,BZN EE,11:00 - 12:00,6.06
01/02/2023,Estonia,BZN EE,12:00 - 13:00,6.06
01/02/2023,Estonia,BZN EE,13:00 - 14:00,5.68
01/02/2023,Estonia,BZN EE,14:00 - 15:00,17.71
01/02/2023,Estonia,BZN EE,15:00 - 16:00,24.11
01/02/2023,Estonia,BZN EE,16:00 - 17:00,36.54
01/02/2023,Estonia,BZN EE,17:00 - 18:00,46.03
01/02/2023,Estonia,BZN EE,18:00 - 19:00,54.23
01/02/2023,Estonia,BZN EE,19:00 - 20:00,53.63
01/02/2023,Estonia,BZN EE,20:00 - 21:00,48.05
01/02/2023,Estonia,BZN EE,21:00 - 22:00,44.68
01/02/2023,Estonia,BZN EE,22:00 - 23:00,45.96
01/02/2023,Estonia,BZN EE,23:00 - 00:00,35.0
01/02/2023,Finland,BZN FI,00:00 - 01:00,2.01
01/02/2023,Finland,BZN FI,01:00 - 02:00,1.38
01/02/2023,Finland,BZN FI,02:00 - 03:00,0.09
01/02/2023,Finland,BZN FI,03:00 - 04:00,0.08
01/02/2023,Finland,BZN FI,04:00 - 05:00,0.05
01/02/2023,Finland,BZN FI,05:00 - 06:00,0.08
01/02/2023,Finland,BZN FI,06:00 - 07:00,0.09
01/02/2023,Finland,BZN FI,07:00 - 08:00,0.53
01/02/2023,Finland,BZN FI,08:00 - 09:00,2.03
01/02/2023,Finland,BZN FI,09:00 - 10:00,3.1
01/02/2023,Finland,BZN FI,10:00 - 11:00,4.43
01/02/2023,Finland,BZN FI,11:00 - 12:00,6.06
01/02/2023,Finland,BZN FI,12:00 - 13:00,6.06
01/02/2023,Finland,BZN FI,13:00 - 14:00,5.68
01/02/2023,Finland,BZN FI,14:00 - 15:00,17.71
01/02/2023,Finland,BZN FI,15:00 - 16:00,24.11
01/02/2023,Finland,BZN FI,16:00 - 17:00,36.54
01/02/2023,Finland,BZN FI,17:00 - 18:00,46.03
01/02/2023,Finland,BZN FI,18:00 - 19:00,54.23
01/02/2023,Finland,BZN FI,19:00 - 20:00,53.63
01/02/2023,Finland,BZN FI,20:00 - 21:00,48.05
01/02/2023,Finland,BZN FI,21:00 - 22:00,44.68
01/02/2023,Finland,BZN FI,22:00 - 23:00,45.96
01/02/2023,Finland,BZN FI,23:00 - 00:00,35.0
01/02/2023,Germany,BZN DE-LU,00:00 - 00:15,75.01
01/02/2023,Germany,BZN DE-LU,00:15 - 00:30,-29.95
01/02/2023,Germany,BZN DE-LU,00:30 - 00:45,-29.98
01/02/2023,Germany,BZN DE-LU,00:45 - 01:00,-30.0
01/02/2023,Germany,BZN DE-LU,01:00 - 01:15,26.81
01/02/2023,Germany,BZN DE-LU,01:15 - 01:30,-29.92
01/02/2023,Germany,BZN DE-LU,01:30 - 01:45,-29.94
01/02/2023,Germany,BZN DE-LU,01:45 - 02:00,-29.95
01/02/2023,Germany,BZN DE-LU,02:00 - 02:15,-29.92
01/02/2023,Germany,BZN DE-LU,02:15 - 02:30,-29.93
01/02/2023,Germany,BZN DE-LU,02:30 - 02:45,-29.94
01/02/2023,Germany,BZN DE-LU,02:45 - 03:00,-29.94
01/02/2023,Germany,BZN DE-LU,03:00 - 03:15,-29.92
01/02/2023,Germany,BZN DE-LU,03:15 - 03:30,-29.93
01/02/2023,Germany,BZN DE-LU,03:30 - 03:45,-29.94
01/02/2023,Germany,BZN DE-LU,03:45 - 04:00,-29.94
01/02/2023,Germany,BZN DE-LU,04:00 - 04:15,-29.9
01/02/2023,Germany,BZN DE-LU,04:15 - 04:30,-29.93
01/02/2023,Germany,BZN DE-LU,04:30 - 04:45,-29.93
01/02/2023,Germany,BZN DE-LU,04:45 - 05:00,-29.94
01/02/2023,Germany,BZN DE-LU,05:00 - 05:15,0.84
01/02/2023,Germany,BZN DE-LU,05:15 - 05:30,-29.92
01/02/2023,Germany,BZN DE-LU,05:30 - 05:45,-29.92
01/02/2023,Germany,BZN DE-LU,05:45 - 06:00,-29.93
01/02/2023,Germany,BZN DE-LU,06:00 - 06:15,11.73
01/02/2023,Germany,BZN DE-LU,06:15 - 06:30,-29.91
01/02/2023,Germany,BZN DE-LU,06:30 - 06:45,-29.91
01/02/2023,Germany,BZN DE-LU,06:45 - 07:00,-29.91
01/02/2023,Germany,BZN DE-LU,07:00 - 07:15,-29.9
01/02/2023,Germany,BZN DE-LU,07:15 - 07:30,-29.9
01/02/2023,Germany,BZN DE-LU,07:30 - 07:45,-29.9
01/02/2023,Germany,BZN DE-LU,07:45 - 08:00,17.7
01/02/2023,Germany,BZN DE-LU,08:00 - 08:15,-30.0
01/02/2023,Germany,BZN DE-LU,08:15 - 08:30,-29.9
01/02/2023,Germany,BZN DE-LU,08:30 - 08:45,-29.9
01/02/2023,Germany,BZN DE-LU,08:45 - 09:00,5.21
01/02/2023,Germany,BZN DE-LU,09:00 - 09:15,-30.0
01/02/2023,Germany,BZN DE-LU,09:15 - 09:30,-29.9
01/02/2023,Germany,BZN DE-LU,09:30 - 09:45,-29.9
